App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
beam,TfIdfTest.java,C:\Users\publi\Downloads\beam\examples\java\src\test\java\org\apache\beam\examples\complete\TfIdfTest.java,C:\Users\publi\Downloads\beam\examples\java\src\main\java\org\apache\beam\examples\complete\TfIdf.java,examples\complete\TfIdfTest.java,examples\complete\TfIdf.java,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
beam,TopWikipediaSessionsTest.java,C:\Users\publi\Downloads\beam\examples\java\src\test\java\org\apache\beam\examples\complete\TopWikipediaSessionsTest.java,,examples\complete\TopWikipediaSessionsTest.java,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,1,0
beam,BigQueryTornadoesTest.java,C:\Users\publi\Downloads\beam\examples\java\src\test\java\org\apache\beam\examples\cookbook\BigQueryTornadoesTest.java,,examples\cookbook\BigQueryTornadoesTest.java,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,4,0,0,4,0
beam,CombinePerKeyExamplesTest.java,C:\Users\publi\Downloads\beam\examples\java\src\test\java\org\apache\beam\examples\cookbook\CombinePerKeyExamplesTest.java,,examples\cookbook\CombinePerKeyExamplesTest.java,,2,2,0,0,0,0,2,0,0,0,0,0,0,0,,,0,0,0,0,2,0
beam,DistinctExampleTest.java,C:\Users\publi\Downloads\beam\examples\java\src\test\java\org\apache\beam\examples\cookbook\DistinctExampleTest.java,C:\Users\publi\Downloads\beam\examples\java\src\main\java\org\apache\beam\examples\cookbook\DistinctExample.java,examples\cookbook\DistinctExampleTest.java,examples\cookbook\DistinctExample.java,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0
beam,FilterExamplesTest.java,C:\Users\publi\Downloads\beam\examples\java\src\test\java\org\apache\beam\examples\cookbook\FilterExamplesTest.java,,examples\cookbook\FilterExamplesTest.java,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,2,0,0,2,0
beam,JoinExamplesTest.java,C:\Users\publi\Downloads\beam\examples\java\src\test\java\org\apache\beam\examples\cookbook\JoinExamplesTest.java,,examples\cookbook\JoinExamplesTest.java,,3,0,0,0,0,0,3,0,0,0,0,0,0,0,,,0,3,0,0,3,0
beam,MaxPerKeyExamplesTest.java,C:\Users\publi\Downloads\beam\examples\java\src\test\java\org\apache\beam\examples\cookbook\MaxPerKeyExamplesTest.java,,examples\cookbook\MaxPerKeyExamplesTest.java,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,2,0,0,2,0
beam,MinimalBigQueryTornadoesTest.java,C:\Users\publi\Downloads\beam\examples\java\src\test\java\org\apache\beam\examples\cookbook\MinimalBigQueryTornadoesTest.java,C:\Users\publi\Downloads\beam\examples\java\src\main\java\org\apache\beam\examples\cookbook\MinimalBigQueryTornadoes.java,examples\cookbook\MinimalBigQueryTornadoesTest.java,examples\cookbook\MinimalBigQueryTornadoes.java,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0
beam,TriggerExampleTest.java,C:\Users\publi\Downloads\beam\examples\java\src\test\java\org\apache\beam\examples\cookbook\TriggerExampleTest.java,C:\Users\publi\Downloads\beam\examples\java\src\main\java\org\apache\beam\examples\cookbook\TriggerExample.java,examples\cookbook\TriggerExampleTest.java,examples\cookbook\TriggerExample.java,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0
beam,DebuggingWordCountTest.java,C:\Users\publi\Downloads\beam\examples\java\src\test\java\org\apache\beam\examples\DebuggingWordCountTest.java,,examples\DebuggingWordCountTest.java,,2,0,0,0,0,0,1,0,1,0,0,0,0,0,,,0,1,0,1,1,0
beam,MinimalWordCountTest.java,C:\Users\publi\Downloads\beam\examples\java\src\test\java\org\apache\beam\examples\MinimalWordCountTest.java,C:\Users\publi\Downloads\beam\examples\java\src\main\java\org\apache\beam\examples\MinimalWordCount.java,examples\MinimalWordCountTest.java,examples\MinimalWordCount.java,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
beam,SnippetsTest.java,C:\Users\publi\Downloads\beam\examples\java\src\test\java\org\apache\beam\examples\snippets\SnippetsTest.java,C:\Users\publi\Downloads\beam\examples\java\src\main\java\org\apache\beam\examples\snippets\Snippets.java,examples\snippets\SnippetsTest.java,examples\snippets\Snippets.java,4,0,4,0,0,0,2,0,1,0,0,1,0,0,2,2,0,3,0,1,4,0
beam,ExampleEchoPipelineTest.java,C:\Users\publi\Downloads\beam\examples\java\src\test\java\org\apache\beam\examples\subprocess\ExampleEchoPipelineTest.java,C:\Users\publi\Downloads\beam\examples\java\src\main\java\org\apache\beam\examples\subprocess\ExampleEchoPipeline.java,examples\subprocess\ExampleEchoPipelineTest.java,examples\subprocess\ExampleEchoPipeline.java,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
beam,WordCountTest.java,C:\Users\publi\Downloads\beam\examples\java\src\test\java\org\apache\beam\examples\WordCountTest.java,,examples\WordCountTest.java,,2,0,0,0,0,0,2,0,0,0,0,0,0,0,,,0,2,0,0,2,0
beam,ReadFromTwitterDoFnTest.java,C:\Users\publi\Downloads\beam\examples\java\twitter\src\test\java\org\apache\beam\examples\twitterstreamgenerator\ReadFromTwitterDoFnTest.java,C:\Users\publi\Downloads\beam\examples\java\twitter\src\main\java\org\apache\beam\examples\twitterstreamgenerator\ReadFromTwitterDoFn.java,examples\twitterstreamgenerator\ReadFromTwitterDoFnTest.java,examples\twitterstreamgenerator\ReadFromTwitterDoFn.java,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
beam,GeminiAIExampleTest.java,C:\Users\publi\Downloads\beam\examples\java\webapis\src\test\java\org\apache\beam\examples\webapis\GeminiAIExampleTest.java,C:\Users\publi\Downloads\beam\examples\java\webapis\src\main\java\org\apache\beam\examples\webapis\GeminiAIExample.java,examples\webapis\GeminiAIExampleTest.java,examples\webapis\GeminiAIExample.java,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
beam,UsingHttpClientExampleTest.java,C:\Users\publi\Downloads\beam\examples\java\webapis\src\test\java\org\apache\beam\examples\webapis\UsingHttpClientExampleTest.java,C:\Users\publi\Downloads\beam\examples\java\webapis\src\main\java\org\apache\beam\examples\webapis\UsingHttpClientExample.java,examples\webapis\UsingHttpClientExampleTest.java,examples\webapis\UsingHttpClientExample.java,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
beam,CassandraResourceManagerTest.java,C:\Users\publi\Downloads\beam\it\cassandra\src\test\java\org\apache\beam\it\cassandra\CassandraResourceManagerTest.java,C:\Users\publi\Downloads\beam\it\cassandra\src\main\java\org\apache\beam\it\cassandra\CassandraResourceManager.java,it\cassandra\CassandraResourceManagerTest.java,it\cassandra\CassandraResourceManager.java,8,0,0,0,0,0,1,1,0,0,0,0,0,0,1,4,0,2,0,0,7,0
beam,ClickHouseResourceManagerTest.java,C:\Users\publi\Downloads\beam\it\clickhouse\src\test\java\org\apache\beam\it\clickhouse\ClickHouseResourceManagerTest.java,C:\Users\publi\Downloads\beam\it\clickhouse\src\main\java\org\apache\beam\it\clickhouse\ClickHouseResourceManager.java,it\clickhouse\ClickHouseResourceManagerTest.java,it\clickhouse\ClickHouseResourceManager.java,9,2,0,0,0,0,7,1,0,0,0,0,0,0,1,2,0,0,0,0,8,0
beam,ClickHouseUtilsTest.java,C:\Users\publi\Downloads\beam\it\clickhouse\src\test\java\org\apache\beam\it\clickhouse\ClickHouseUtilsTest.java,C:\Users\publi\Downloads\beam\it\clickhouse\src\main\java\org\apache\beam\it\clickhouse\ClickHouseUtils.java,it\clickhouse\ClickHouseUtilsTest.java,it\clickhouse\ClickHouseUtils.java,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
beam,TestProperties.java,C:\Users\publi\Downloads\beam\it\common\src\main\java\org\apache\beam\it\common\TestProperties.java,,it\common\TestProperties.java,,20,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
beam,PipelineOperatorTest.java,C:\Users\publi\Downloads\beam\it\common\src\test\java\org\apache\beam\it\common\PipelineOperatorTest.java,C:\Users\publi\Downloads\beam\it\common\src\main\java\org\apache\beam\it\common\PipelineOperator.java,it\common\PipelineOperatorTest.java,it\common\PipelineOperator.java,9,4,0,0,0,0,9,0,0,0,0,0,0,0,0,8,0,0,0,0,9,0
beam,TestPropertiesTest.java,C:\Users\publi\Downloads\beam\it\common\src\test\java\org\apache\beam\it\common\TestPropertiesTest.java,C:\Users\publi\Downloads\beam\it\common\src\main\java\org\apache\beam\it\common\TestProperties.java,it\common\TestPropertiesTest.java,it\common\TestProperties.java,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,5,0
beam,ExceptionUtilsTest.java,C:\Users\publi\Downloads\beam\it\common\src\test\java\org\apache\beam\it\common\utils\ExceptionUtilsTest.java,C:\Users\publi\Downloads\beam\it\common\src\main\java\org\apache\beam\it\common\utils\ExceptionUtils.java,it\common\utils\ExceptionUtilsTest.java,it\common\utils\ExceptionUtils.java,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0
beam,PipelineUtilsTest.java,C:\Users\publi\Downloads\beam\it\common\src\test\java\org\apache\beam\it\common\utils\PipelineUtilsTest.java,C:\Users\publi\Downloads\beam\it\common\src\main\java\org\apache\beam\it\common\utils\PipelineUtils.java,it\common\utils\PipelineUtilsTest.java,it\common\utils\PipelineUtils.java,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,5,0
beam,ResourceManagerUtilsTest.java,C:\Users\publi\Downloads\beam\it\common\src\test\java\org\apache\beam\it\common\utils\ResourceManagerUtilsTest.java,C:\Users\publi\Downloads\beam\it\common\src\main\java\org\apache\beam\it\common\utils\ResourceManagerUtils.java,it\common\utils\ResourceManagerUtilsTest.java,it\common\utils\ResourceManagerUtils.java,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,0,0,15,0
beam,ElasticsearchResourceManagerTest.java,C:\Users\publi\Downloads\beam\it\elasticsearch\src\test\java\org\apache\beam\it\elasticsearch\ElasticsearchResourceManagerTest.java,C:\Users\publi\Downloads\beam\it\elasticsearch\src\main\java\org\apache\beam\it\elasticsearch\ElasticsearchResourceManager.java,it\elasticsearch\ElasticsearchResourceManagerTest.java,it\elasticsearch\ElasticsearchResourceManager.java,9,0,0,0,0,0,6,2,0,0,0,0,0,0,3,9,0,0,0,0,8,0
beam,ElasticsearchUtilsTest.java,C:\Users\publi\Downloads\beam\it\elasticsearch\src\test\java\org\apache\beam\it\elasticsearch\ElasticsearchUtilsTest.java,C:\Users\publi\Downloads\beam\it\elasticsearch\src\main\java\org\apache\beam\it\elasticsearch\ElasticsearchUtils.java,it\elasticsearch\ElasticsearchUtilsTest.java,it\elasticsearch\ElasticsearchUtils.java,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0
beam,GcsArtifactTest.java,C:\Users\publi\Downloads\beam\it\google-cloud-platform\src\test\java\org\apache\beam\it\gcp\artifacts\GcsArtifactTest.java,C:\Users\publi\Downloads\beam\it\google-cloud-platform\src\main\java\org\apache\beam\it\gcp\artifacts\GcsArtifact.java,it\gcp\artifacts\GcsArtifactTest.java,it\gcp\artifacts\GcsArtifact.java,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
beam,ArtifactUtilsTest.java,C:\Users\publi\Downloads\beam\it\google-cloud-platform\src\test\java\org\apache\beam\it\gcp\artifacts\utils\ArtifactUtilsTest.java,C:\Users\publi\Downloads\beam\it\google-cloud-platform\src\main\java\org\apache\beam\it\gcp\artifacts\utils\ArtifactUtils.java,it\gcp\artifacts\utils\ArtifactUtilsTest.java,it\gcp\artifacts\utils\ArtifactUtils.java,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0
beam,BigQueryResourceManagerTest.java,C:\Users\publi\Downloads\beam\it\google-cloud-platform\src\test\java\org\apache\beam\it\gcp\bigquery\BigQueryResourceManagerTest.java,C:\Users\publi\Downloads\beam\it\google-cloud-platform\src\main\java\org\apache\beam\it\gcp\bigquery\BigQueryResourceManager.java,it\gcp\bigquery\BigQueryResourceManagerTest.java,it\gcp\bigquery\BigQueryResourceManager.java,30,3,0,0,0,0,2,29,0,0,0,0,0,0,20,55,0,7,0,0,29,0
beam,BigQueryResourceManagerUtilsTest.java,C:\Users\publi\Downloads\beam\it\google-cloud-platform\src\test\java\org\apache\beam\it\gcp\bigquery\BigQueryResourceManagerUtilsTest.java,C:\Users\publi\Downloads\beam\it\google-cloud-platform\src\main\java\org\apache\beam\it\gcp\bigquery\BigQueryResourceManagerUtils.java,it\gcp\bigquery\BigQueryResourceManagerUtilsTest.java,it\gcp\bigquery\BigQueryResourceManagerUtils.java,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0
beam,BigtableResourceManagerClientFactoryTest.java,C:\Users\publi\Downloads\beam\it\google-cloud-platform\src\test\java\org\apache\beam\it\gcp\bigtable\BigtableResourceManagerClientFactoryTest.java,C:\Users\publi\Downloads\beam\it\google-cloud-platform\src\main\java\org\apache\beam\it\gcp\bigtable\BigtableResourceManagerClientFactory.java,it\gcp\bigtable\BigtableResourceManagerClientFactoryTest.java,it\gcp\bigtable\BigtableResourceManagerClientFactory.java,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,2,0
beam,BigtableResourceManagerClusterTest.java,C:\Users\publi\Downloads\beam\it\google-cloud-platform\src\test\java\org\apache\beam\it\gcp\bigtable\BigtableResourceManagerClusterTest.java,C:\Users\publi\Downloads\beam\it\google-cloud-platform\src\main\java\org\apache\beam\it\gcp\bigtable\BigtableResourceManagerCluster.java,it\gcp\bigtable\BigtableResourceManagerClusterTest.java,it\gcp\bigtable\BigtableResourceManagerCluster.java,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
beam,BigtableResourceManagerTest.java,C:\Users\publi\Downloads\beam\it\google-cloud-platform\src\test\java\org\apache\beam\it\gcp\bigtable\BigtableResourceManagerTest.java,C:\Users\publi\Downloads\beam\it\google-cloud-platform\src\main\java\org\apache\beam\it\gcp\bigtable\BigtableResourceManager.java,it\gcp\bigtable\BigtableResourceManagerTest.java,it\gcp\bigtable\BigtableResourceManager.java,33,4,0,0,0,0,2,11,0,0,0,0,0,0,24,60,0,8,0,0,31,0
beam,BigtableResourceManagerUtilsTest.java,C:\Users\publi\Downloads\beam\it\google-cloud-platform\src\test\java\org\apache\beam\it\gcp\bigtable\BigtableResourceManagerUtilsTest.java,C:\Users\publi\Downloads\beam\it\google-cloud-platform\src\main\java\org\apache\beam\it\gcp\bigtable\BigtableResourceManagerUtils.java,it\gcp\bigtable\BigtableResourceManagerUtilsTest.java,it\gcp\bigtable\BigtableResourceManagerUtils.java,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0
beam,AbstractPipelineLauncherTest.java,C:\Users\publi\Downloads\beam\it\google-cloud-platform\src\test\java\org\apache\beam\it\gcp\dataflow\AbstractPipelineLauncherTest.java,C:\Users\publi\Downloads\beam\it\google-cloud-platform\src\main\java\org\apache\beam\it\gcp\dataflow\AbstractPipelineLauncher.java,it\gcp\dataflow\AbstractPipelineLauncherTest.java,it\gcp\dataflow\AbstractPipelineLauncher.java,7,3,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0
beam,ClassicTemplateClientTest.java,C:\Users\publi\Downloads\beam\it\google-cloud-platform\src\test\java\org\apache\beam\it\gcp\dataflow\ClassicTemplateClientTest.java,C:\Users\publi\Downloads\beam\it\google-cloud-platform\src\main\java\org\apache\beam\it\gcp\dataflow\ClassicTemplateClient.java,it\gcp\dataflow\ClassicTemplateClientTest.java,it\gcp\dataflow\ClassicTemplateClient.java,5,1,0,0,0,0,2,0,0,0,0,0,0,0,3,9,1,1,0,0,3,0
beam,DefaultPipelineLauncherTest.java,C:\Users\publi\Downloads\beam\it\google-cloud-platform\src\test\java\org\apache\beam\it\gcp\dataflow\DefaultPipelineLauncherTest.java,C:\Users\publi\Downloads\beam\it\google-cloud-platform\src\main\java\org\apache\beam\it\gcp\dataflow\DefaultPipelineLauncher.java,it\gcp\dataflow\DefaultPipelineLauncherTest.java,it\gcp\dataflow\DefaultPipelineLauncher.java,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
beam,FlexTemplateClientTest.java,C:\Users\publi\Downloads\beam\it\google-cloud-platform\src\test\java\org\apache\beam\it\gcp\dataflow\FlexTemplateClientTest.java,C:\Users\publi\Downloads\beam\it\google-cloud-platform\src\main\java\org\apache\beam\it\gcp\dataflow\FlexTemplateClient.java,it\gcp\dataflow\FlexTemplateClientTest.java,it\gcp\dataflow\FlexTemplateClient.java,5,1,0,0,0,0,2,0,0,0,0,0,0,0,3,12,1,1,0,0,3,0
beam,DatastoreResourceManagerTest.java,C:\Users\publi\Downloads\beam\it\google-cloud-platform\src\test\java\org\apache\beam\it\gcp\datastore\DatastoreResourceManagerTest.java,C:\Users\publi\Downloads\beam\it\google-cloud-platform\src\main\java\org\apache\beam\it\gcp\datastore\DatastoreResourceManager.java,it\gcp\datastore\DatastoreResourceManagerTest.java,it\gcp\datastore\DatastoreResourceManager.java,4,2,0,0,0,0,0,0,0,0,0,0,0,0,3,7,1,1,0,0,3,0
beam,DatastreamResourceManagerTest.java,C:\Users\publi\Downloads\beam\it\google-cloud-platform\src\test\java\org\apache\beam\it\gcp\datastream\DatastreamResourceManagerTest.java,C:\Users\publi\Downloads\beam\it\google-cloud-platform\src\main\java\org\apache\beam\it\gcp\datastream\DatastreamResourceManager.java,it\gcp\datastream\DatastreamResourceManagerTest.java,it\gcp\datastream\DatastreamResourceManager.java,17,11,1,0,0,0,12,2,0,0,0,0,0,0,1,18,0,1,0,0,16,0
beam,KMSResourceManagerTest.java,C:\Users\publi\Downloads\beam\it\google-cloud-platform\src\test\java\org\apache\beam\it\gcp\kms\KMSResourceManagerTest.java,C:\Users\publi\Downloads\beam\it\google-cloud-platform\src\main\java\org\apache\beam\it\gcp\kms\KMSResourceManager.java,it\gcp\kms\KMSResourceManagerTest.java,it\gcp\kms\KMSResourceManager.java,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,0,4,0,0,9,0
beam,PubsubResourceManagerTest.java,C:\Users\publi\Downloads\beam\it\google-cloud-platform\src\test\java\org\apache\beam\it\gcp\pubsub\PubsubResourceManagerTest.java,C:\Users\publi\Downloads\beam\it\google-cloud-platform\src\main\java\org\apache\beam\it\gcp\pubsub\PubsubResourceManager.java,it\gcp\pubsub\PubsubResourceManagerTest.java,it\gcp\pubsub\PubsubResourceManager.java,14,13,0,0,0,0,0,12,0,0,0,0,0,0,7,39,2,0,0,0,13,0
beam,PubsubUtilsTest.java,C:\Users\publi\Downloads\beam\it\google-cloud-platform\src\test\java\org\apache\beam\it\gcp\pubsub\PubsubUtilsTest.java,C:\Users\publi\Downloads\beam\it\google-cloud-platform\src\main\java\org\apache\beam\it\gcp\pubsub\PubsubUtils.java,it\gcp\pubsub\PubsubUtilsTest.java,it\gcp\pubsub\PubsubUtils.java,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
beam,SecretManagerResourceManagerTest.java,C:\Users\publi\Downloads\beam\it\google-cloud-platform\src\test\java\org\apache\beam\it\gcp\secretmanager\SecretManagerResourceManagerTest.java,C:\Users\publi\Downloads\beam\it\google-cloud-platform\src\main\java\org\apache\beam\it\gcp\secretmanager\SecretManagerResourceManager.java,it\gcp\secretmanager\SecretManagerResourceManagerTest.java,it\gcp\secretmanager\SecretManagerResourceManager.java,7,5,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,6,0
beam,SpannerResourceManagerTest.java,C:\Users\publi\Downloads\beam\it\google-cloud-platform\src\test\java\org\apache\beam\it\gcp\spanner\SpannerResourceManagerTest.java,C:\Users\publi\Downloads\beam\it\google-cloud-platform\src\main\java\org\apache\beam\it\gcp\spanner\SpannerResourceManager.java,it\gcp\spanner\SpannerResourceManagerTest.java,it\gcp\spanner\SpannerResourceManager.java,23,4,0,0,0,0,11,0,0,0,0,0,0,0,11,43,0,2,0,0,18,0
beam,SpannerResourceManagerUtilsTest.java,C:\Users\publi\Downloads\beam\it\google-cloud-platform\src\test\java\org\apache\beam\it\gcp\spanner\utils\SpannerResourceManagerUtilsTest.java,C:\Users\publi\Downloads\beam\it\google-cloud-platform\src\main\java\org\apache\beam\it\gcp\spanner\utils\SpannerResourceManagerUtils.java,it\gcp\spanner\utils\SpannerResourceManagerUtilsTest.java,it\gcp\spanner\utils\SpannerResourceManagerUtils.java,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,9,0
beam,GcsResourceManagerTest.java,C:\Users\publi\Downloads\beam\it\google-cloud-platform\src\test\java\org\apache\beam\it\gcp\storage\GcsResourceManagerTest.java,C:\Users\publi\Downloads\beam\it\google-cloud-platform\src\main\java\org\apache\beam\it\gcp\storage\GcsResourceManager.java,it\gcp\storage\GcsResourceManagerTest.java,it\gcp\storage\GcsResourceManager.java,14,6,0,0,0,0,1,2,0,0,0,0,0,0,8,18,0,1,0,0,11,0
beam,AbstractJDBCResourceManagerTest.java,C:\Users\publi\Downloads\beam\it\jdbc\src\test\java\org\apache\beam\it\jdbc\AbstractJDBCResourceManagerTest.java,C:\Users\publi\Downloads\beam\it\jdbc\src\main\java\org\apache\beam\it\jdbc\AbstractJDBCResourceManager.java,it\jdbc\AbstractJDBCResourceManagerTest.java,it\jdbc\AbstractJDBCResourceManager.java,18,0,0,0,0,0,13,0,0,0,0,0,0,0,1,15,0,3,0,0,17,0
beam,JDBCResourceManagerUtilsTest.java,C:\Users\publi\Downloads\beam\it\jdbc\src\test\java\org\apache\beam\it\jdbc\JDBCResourceManagerUtilsTest.java,C:\Users\publi\Downloads\beam\it\jdbc\src\main\java\org\apache\beam\it\jdbc\JDBCResourceManagerUtils.java,it\jdbc\JDBCResourceManagerUtilsTest.java,it\jdbc\JDBCResourceManagerUtils.java,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0
beam,MSSQLResourceManagerTest.java,C:\Users\publi\Downloads\beam\it\jdbc\src\test\java\org\apache\beam\it\jdbc\MSSQLResourceManagerTest.java,C:\Users\publi\Downloads\beam\it\jdbc\src\main\java\org\apache\beam\it\jdbc\MSSQLResourceManager.java,it\jdbc\MSSQLResourceManagerTest.java,it\jdbc\MSSQLResourceManager.java,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
