filename,AssertionRoulette,ConditionalTestLogic,DuplicateAssert,EmptyTest,ExceptionHandling,IgnoredTest,MagicNumberTest,RedundantPrint,SleepyTest,UnknownTest
test_smell_070.test.js,0,1,0,0,1,0,0,1,0,0
test_smell_071.test.js,1,1,0,0,1,0,0,0,1,0
test_smell_072.test.js,1,0,0,0,0,0,0,0,1,0
test_smell_073.test.js,0,1,0,0,1,0,0,0,1,1
test_smell_074.test.js,0,0,0,0,1,0,0,1,1,1
test_smell_075.test.js,0,0,0,0,0,0,1,1,1,0
test_smell_076.test.js,0,0,0,0,0,0,0,0,1,0
test_smell_077.test.js,0,0,0,0,1,0,0,1,1,1
test_smell_078.test.js,0,1,0,0,1,0,0,0,1,1
test_smell_079.test.js,0,0,0,0,0,0,0,0,0,1
test_smell_080.test.js,0,0,0,1,0,0,0,0,0,1
test_smell_081.test.js,0,0,0,0,0,0,0,0,0,1
test_smell_082.test.js,0,0,0,0,0,0,0,0,0,1
test_smell_083.test.js,0,0,0,0,0,0,0,0,0,1
test_smell_084.test.js,0,0,0,0,0,0,0,0,0,1
test_smell_085.test.js,1,1,1,0,1,0,0,0,0,0
test_smell_086.test.js,1,0,0,0,1,0,0,1,0,0
test_smell_087.test.js,1,1,0,0,0,0,1,0,0,0
test_smell_088.test.js,1,0,0,0,0,0,0,0,0,0
test_smell_089.test.js,1,0,1,0,0,0,0,0,0,0
test_smell_090.test.js,1,1,0,0,0,0,0,0,0,0
test_smell_091.test.js,1,0,1,0,1,0,0,0,0,0
test_smell_092.test.js,1,0,0,0,0,0,1,0,0,0
test_smell_093.test.js,1,1,0,0,0,0,1,0,0,0
test_smell_094.test.js,1,0,0,0,0,0,0,0,0,0
test_smell_095.test.js,1,1,0,0,0,0,1,0,0,0
test_smell_096.test.js,1,1,0,0,1,0,0,0,1,0
test_smell_097.test.js,1,1,0,0,0,0,1,0,0,0
test_smell_098.test.js,0,1,0,0,1,1,0,0,0,1
test_smell_099.test.js,1,1,0,0,0,0,0,0,0,0
test_smell_100.test.js,0,1,0,0,0,0,0,1,1,0
test_smell_101.test.js,1,1,0,0,0,0,0,0,0,0
test_smell_102.test.js,0,1,0,0,0,0,0,0,0,0
test_smell_103.test.js,0,1,0,0,1,0,0,1,0,0
test_smell_104.test.js,1,1,0,0,0,0,0,0,0,0
test_smell_105.test.js,1,1,1,0,0,0,1,0,0,0
test_smell_106.test.js,1,1,1,0,1,0,1,0,0,0
test_smell_107.test.js,1,0,1,0,0,0,1,0,0,0
test_smell_108.test.js,1,0,1,0,1,0,0,0,0,0
test_smell_109.test.js,1,0,1,0,0,0,0,0,0,0
test_smell_110.test.js,1,0,1,0,0,0,0,0,0,0
test_smell_111.test.js,1,1,1,0,1,0,1,0,0,0
test_smell_112.test.js,0,0,0,1,0,0,0,0,0,1
test_smell_113.test.js,0,0,0,1,0,0,0,0,0,1
test_smell_114.test.js,0,0,0,1,0,0,0,0,0,1
test_smell_115.test.js,0,0,0,1,0,0,0,0,0,1
test_smell_116.test.js,0,0,0,1,0,0,0,0,0,1
test_smell_117.test.js,0,0,0,1,0,0,0,0,0,1
test_smell_118.test.js,0,0,0,1,0,0,0,0,0,1
test_smell_119.test.js,0,0,0,1,0,0,0,0,0,1
test_smell_120.test.js,0,0,0,1,0,1,0,0,0,1
test_smell_121.test.js,0,0,0,1,0,0,0,0,0,1
test_smell_122.test.js,1,1,0,0,1,0,1,0,1,0
test_smell_123.test.js,1,0,1,0,1,0,0,0,0,0
test_smell_124.test.js,0,0,0,0,1,0,0,0,0,0
test_smell_125.test.js,0,1,0,0,1,1,0,0,0,1
test_smell_126.test.js,0,0,0,0,1,0,0,0,0,0
test_smell_127.test.js,1,1,1,0,1,0,0,0,0,0
test_smell_128.test.js,1,0,0,0,1,0,0,0,0,0
test_smell_129.test.js,1,1,0,0,1,1,1,0,0,0
test_smell_130.test.js,0,1,0,0,1,1,0,0,0,0
test_smell_131.test.js,1,0,0,0,0,1,0,1,0,0
test_smell_132.test.js,1,0,0,0,0,1,1,0,0,0
test_smell_133.test.js,1,0,0,0,0,1,1,0,0,0
test_smell_134.test.js,0,0,0,0,0,1,0,0,0,0
test_smell_135.test.js,0,0,0,0,0,1,0,0,0,1
test_smell_136.test.js,0,0,0,0,0,1,0,0,0,0
test_smell_137.test.js,0,1,0,0,0,1,0,0,0,0
test_smell_138.test.js,0,0,0,0,0,0,1,0,0,0
test_smell_139.test.js,0,0,0,0,0,0,1,0,1,0
test_smell_140.test.js,0,1,0,0,0,1,1,0,0,0
test_smell_141.test.js,1,0,0,0,0,0,1,0,0,0
test_smell_142.test.js,1,0,0,0,0,0,1,0,0,0
test_smell_143.test.js,0,0,0,0,0,0,1,1,0,0
test_smell_144.test.js,1,0,1,0,0,0,0,1,0,0
test_smell_145.test.js,1,0,0,0,0,0,1,1,0,0
test_smell_146.test.js,1,1,0,0,0,0,1,1,0,0
test_smell_147.test.js,1,0,0,0,0,0,1,1,0,0
test_smell_148.test.js,1,0,0,0,0,0,0,1,0,0
test_smell_149.test.js,0,0,0,0,0,0,0,1,1,1
test_smell_150.test.js,1,0,0,0,0,0,0,1,0,0
test_smell_151.test.js,0,1,0,0,0,0,0,1,1,0
test_smell_152.test.js,0,1,0,0,0,1,0,1,0,1
test_smell_153.test.js,1,0,0,0,0,0,1,0,1,0
test_smell_154.test.js,0,0,0,0,0,0,0,0,1,0
test_smell_155.test.js,0,0,0,0,0,0,0,0,1,0
test_smell_156.test.js,0,0,0,0,0,0,0,0,1,1
test_smell_157.test.js,0,0,0,0,0,0,0,0,1,0
test_smell_158.test.js,1,1,0,0,0,0,1,0,1,0
test_smell_159.test.js,0,0,0,0,0,0,0,1,0,1
test_smell_160.test.js,0,0,0,0,0,0,0,0,0,1
test_smell_161.test.js,0,0,0,0,0,0,0,0,0,1
test_smell_162.test.js,0,0,0,0,0,0,0,0,0,1
test_smell_163.test.js,0,0,0,0,0,1,0,0,0,1
test_smell_164.test.js,0,0,0,1,0,0,0,0,0,1
test_smell_165.test.js,0,0,0,0,1,0,0,0,0,1
test_smell_166.test.js,0,0,0,0,0,0,0,0,0,1
