Language,TestSmell,Precision,Precision_CI_Lower,Precision_CI_Upper,Recall,Recall_CI_Lower,Recall_CI_Upper,F1,F1_CI_Lower,F1_CI_Upper,Accuracy,Accuracy_CI_Lower,Accuracy_CI_Upper
python,SleepyTest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
python,UnknownTest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
csharp,AssertionRoulette,0.9722222222222222,0.9264338235294118,1.0,0.958904109589041,0.909061004784689,1.0,0.9655172413793104,0.9305200131233596,0.9924839877471456,0.9698795180722891,0.9397590361445783,0.9939759036144579
csharp,ConditionalTestLogic,1.0,1.0,1.0,0.9772727272727273,0.926806684733514,1.0,0.9885057471264368,0.9620131450827654,1.0,0.9939759036144579,0.9819277108433735,1.0
csharp,DuplicateAssert,0.8787878787878788,0.75,0.9736842105263158,0.9666666666666667,0.8888888888888888,1.0,0.9206349206349206,0.8363636363636363,0.9836065573770492,0.9698795180722891,0.9397590361445783,0.9939759036144579
csharp,EmptyTest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
csharp,ExceptionHandling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
csharp,IgnoredTest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
csharp,MagicNumberTest,1.0,1.0,1.0,0.8723404255319149,0.7755102040816326,0.9574468085106383,0.9318181818181818,0.8735632183908046,0.9782608695652174,0.963855421686747,0.9337349397590361,0.9879518072289156
csharp,RedundantPrint,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
csharp,SleepyTest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
csharp,UnknownTest,0.96,0.9,1.0,1.0,1.0,1.0,0.9795918367346939,0.9473684210526315,1.0,0.9879518072289156,0.9698795180722891,1.0
javascript,AssertionRoulette,1.0,1.0,1.0,0.974025974025974,0.9358870967741936,1.0,0.9868421052631579,0.9668818984547461,1.0,0.9879518072289156,0.9698795180722891,1.0
javascript,ConditionalTestLogic,0.9787234042553191,0.9272727272727272,1.0,0.92,0.8367346938775511,0.9814814814814815,0.9484536082474226,0.8958184523809525,0.9896907216494846,0.9698795180722891,0.9397590361445783,0.9939759036144579
javascript,DuplicateAssert,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
javascript,EmptyTest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
javascript,ExceptionHandling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
javascript,IgnoredTest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
javascript,MagicNumberTest,0.9375,0.8678930817610063,1.0,0.9183673469387755,0.8245614035087719,0.9803921568627451,0.9278350515463918,0.8636363636363636,0.9719626168224299,0.9578313253012049,0.9216867469879518,0.9819277108433735
javascript,RedundantPrint,1.0,1.0,1.0,0.9411764705882353,0.8461538461538461,1.0,0.9696969696969697,0.9166666666666666,1.0,0.9879518072289156,0.9698795180722891,1.0
javascript,SleepyTest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
javascript,UnknownTest,0.9464285714285714,0.8813369592714394,1.0,1.0,1.0,1.0,0.9724770642201835,0.936926211926212,1.0,0.9819277108433735,0.963855421686747,1.0
typescript,AssertionRoulette,1.0,1.0,1.0,0.9634146341463414,0.9204316875653082,1.0,0.9813664596273292,0.9585674804237678,1.0,0.9819277108433735,0.9578313253012049,1.0
typescript,ConditionalTestLogic,1.0,1.0,1.0,0.8367346938775511,0.7221666666666667,0.9347826086956522,0.9111111111111111,0.8386721680420106,0.9662921348314607,0.9518072289156626,0.9215361445783135,0.9819277108433735
typescript,DuplicateAssert,1.0,1.0,1.0,0.9310344827586207,0.8275487256371814,1.0,0.9642857142857143,0.905637915543576,1.0,0.9879518072289156,0.9698795180722891,1.0
typescript,EmptyTest,0.9565217391304348,0.8518518518518519,1.0,1.0,1.0,1.0,0.9777777777777777,0.92,1.0,0.9939759036144579,0.9819277108433735,1.0
typescript,ExceptionHandling,1.0,1.0,1.0,0.975609756097561,0.9209992887624466,1.0,0.9876543209876543,0.958875168821146,1.0,0.9939759036144579,0.9819277108433735,1.0
typescript,IgnoredTest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
typescript,MagicNumberTest,0.9375,0.8571428571428571,1.0,0.9183673469387755,0.8362878787878788,0.9818181818181818,0.9278350515463918,0.8674497991967872,0.9777777777777777,0.9578313253012049,0.9216867469879518,0.9879518072289156
typescript,RedundantPrint,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
typescript,SleepyTest,1.0,1.0,1.0,0.9354838709677419,0.8333333333333334,1.0,0.9666666666666667,0.9090909090909091,1.0,0.9879518072289156,0.9698795180722891,1.0
typescript,UnknownTest,0.9056603773584906,0.8199545454545455,0.9782608695652174,1.0,1.0,1.0,0.9504950495049505,0.9010714285714286,0.989010989010989,0.9698795180722891,0.9397590361445783,0.9939759036144579
